dateComponents,activeEnergyBurned,activeEnergyBurnedGoal,activeEnergyBurnedUnit,appleMoveTime,appleMoveTimeGoal,appleExerciseTime,appleExerciseTimeGoal,appleStandHours,appleStandHoursGoal
2022-06-08,771.776,500,Cal,0,0,48,30,15,10
2022-06-09,717.284,500,Cal,0,0,53,30,15,10
2022-06-10,836.707,500,Cal,0,0,80,30,18,10
2022-06-11,1132.14,500,Cal,0,0,62,30,20,10
2022-06-12,926.161,500,Cal,0,0,56,30,19,10
2022-06-13,878.626,500,Cal,0,0,73,30,18,10
2022-06-14,791.791,500,Cal,0,0,46,30,17,10
2022-06-15,855.878,500,Cal,0,0,65,30,18,10
2022-06-16,806.963,500,Cal,0,0,80,30,20,10
2022-06-17,913.902,500,Cal,0,0,63,30,19,10
2022-06-18,1119.71,500,Cal,0,0,100,30,14,10
2022-06-19,1219.42,500,Cal,0,0,111,30,17,10
2022-06-20,1081.16,500,Cal,0,0,111,30,17,10
2022-06-21,769.198,500,Cal,0,0,52,30,17,10
2022-06-22,829.879,500,Cal,0,0,96,30,17,10
2022-06-23,791.979,500,Cal,0,0,51,30,16,10
2022-06-24,888.985,500,Cal,0,0,67,30,20,10
2022-06-25,1312.23,500,Cal,0,0,105,30,18,10
2022-06-26,823.814,500,Cal,0,0,54,30,18,10
2022-06-27,838.902,500,Cal,0,0,40,30,17,10
2022-06-28,914.626,500,Cal,0,0,87,30,17,10
2022-06-29,1019.75,500,Cal,0,0,106,30,19,10
2022-06-30,786.978,500,Cal,0,0,62,30,19,10
2022-07-01,702.993,500,Cal,0,0,46,30,14,10
2022-07-02,1121.78,500,Cal,0,0,87,30,18,10
2022-07-03,1059.9,500,Cal,0,0,92,30,18,10
2022-07-04,1325.4,500,Cal,0,0,107,30,17,10
2022-07-05,819.46,500,Cal,0,0,69,30,18,10
2022-07-06,1001.72,500,Cal,0,0,86,30,17,10
2022-07-07,758.038,500,Cal,0,0,36,30,14,10
2022-07-08,918.917,500,Cal,0,0,79,30,19,10
2022-07-09,861.866,500,Cal,0,0,57,30,17,10
2022-07-10,1192.91,500,Cal,0,0,106,30,19,10
2022-07-11,840.045,500,Cal,0,0,75,30,17,10
2022-07-12,732.801,500,Cal,0,0,41,30,17,10
2022-07-13,816.197,500,Cal,0,0,60,30,15,10
2022-07-14,763.656,500,Cal,0,0,35,30,20,10
2022-07-15,796.513,500,Cal,0,0,74,30,18,10
2022-07-16,1315.31,500,Cal,0,0,148,30,19,10
2022-07-17,855.367,500,Cal,0,0,73,30,17,10
2022-07-18,1054.55,500,Cal,0,0,85,30,17,10
2022-07-19,754.062,500,Cal,0,0,59,30,17,10
2022-07-20,788.076,500,Cal,0,0,69,30,16,10
2022-07-21,771.442,500,Cal,0,0,34,30,20,10
2022-07-22,780.242,500,Cal,0,0,55,30,16,10
2022-07-23,967.063,500,Cal,0,0,101,30,16,10
2022-07-24,900.691,500,Cal,0,0,59,30,16,10
2022-07-25,726.81,500,Cal,0,0,40,30,14,10
2022-07-26,839.474,500,Cal,0,0,67,30,18,10
2022-07-27,826.766,500,Cal,0,0,61,30,17,10
2022-07-28,748.173,500,Cal,0,0,38,30,18,10
2022-07-29,858.709,500,Cal,0,0,61,30,19,10
2022-07-30,1142.83,500,Cal,0,0,106,30,16,10
2022-07-31,817.286,500,Cal,0,0,123,30,17,10
2022-08-01,959.348,500,Cal,0,0,106,30,15,10
2022-08-02,795.455,500,Cal,0,0,74,30,17,10
2022-08-03,774.586,500,Cal,0,0,57,30,18,10
2022-08-04,794.541,500,Cal,0,0,63,30,18,10
2022-08-05,736.293,500,Cal,0,0,51,30,16,10
2022-08-06,1124.12,500,Cal,0,0,115,30,18,10
2022-08-07,767.733,500,Cal,0,0,78,30,18,10
2022-08-08,965.401,500,Cal,0,0,72,30,17,10
2022-08-09,790.327,500,Cal,0,0,71,30,18,10
2022-08-10,782.607,500,Cal,0,0,50,30,19,10
2022-08-11,747.889,500,Cal,0,0,61,30,16,10
2022-08-12,851.257,500,Cal,0,0,63,30,15,10
2022-08-13,911.514,500,Cal,0,0,76,30,15,10
